Product URL,Star Rating,Comment
https://www.thegioididong.com/dtdd/honor-x8b,4,Mình mới mua đt này giờ trải nghiệm xong rồi muốn bán lại thì mất bao nhiêu % mình sài chưa được 1 tháng
https://www.thegioididong.com/dtdd/honor-x8b,4,xài thấy cũng ok ....để xem một thời gian như thế nào đã
https://www.thegioididong.com/dtdd/honor-x8b,5,Sao mua thấy bảo hành có 12t
https://www.thegioididong.com/dtdd/honor-x8b,5,"Sản phẩm mượt, chạy êm. Hơi tiếc vì mua sớm với giá 6.690.000 đông."
https://www.thegioididong.com/dtdd/honor-x8b,5,Cho mình hỏi muốn khởi động lại máy hay tắt nguồn thì thao tác ntn ạ
https://www.thegioididong.com/dtdd/honor-x8b,5,"Đã mua và được khoảng 03 tuần. Kết luận Pin sạt nhanh, thời lượng pin tuỳ vào nhu cầu người dùng. Camera ổn, không có chống rung, quay phim di chuyển đương nhiên bị giật giật. Phản hồi ứng dụng nhanh. Màu xanh bao đẹp, nhẹ. Không sử dụng chơi game. Giá thực tế khi mua xong là 6.390.000 đ. Có nhiều tính năng hỗ trợ người dùng."
https://www.thegioididong.com/dtdd/honor-x8b,4,Mình mua trả góp không biết có được hưởng ưu đãi cơ hội chúng xe sirius không nhỉ
https://www.thegioididong.com/dtdd/honor-x8b,5,"Sp rất tốt, pin 4500 nhưng thời lượng sd cảm thấy ổn hơn mấy dòng pin 5000. Hoàn toàn ko có hiện tượng giật lác, đa nhiệm mượt. M cũng đang sài Iphone 11pro mà cảm giác còn ko mượt bằng con x8b này."
https://www.thegioididong.com/dtdd/honor-x8b,5,Dung mượt tốt nên mua
https://www.thegioididong.com/dtdd/honor-x8b,3,Đúng tầm dc trong tâm tiền thì nbieu còn ngon hon
https://www.thegioididong.com/dtdd/honor-x8b,5,Ok
https://www.thegioididong.com/dtdd/honor-x8b,5,Ok tốt
https://www.thegioididong.com/dtdd/honor-x8b,5,
https://www.thegioididong.com/dtdd/honor-x8b,5,
